Namespace(exp_name='semseg_s3dis_6', model='dgcnn', dataset='S3DIS', test_area='6', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='', visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(exp_name='semseg_s3dis_6', model='dgcnn', dataset='S3DIS', test_area='6', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='', visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(exp_name='semseg_s3dis_6', model='dgcnn', dataset='S3DIS', test_area='6', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='', visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(exp_name='semseg_s3dis_6', model='dgcnn', dataset='S3DIS', test_area='6', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='', visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Train 91, loss: 0.078238, train acc: 0.971483, train avg acc: 0.957531, train iou: 0.918899
Test 91, loss: 0.510632, test acc: 0.879474, test avg acc: 0.756638, test iou: 0.664427
Train 92, loss: 0.077772, train acc: 0.971603, train avg acc: 0.958054, train iou: 0.919932
Test 92, loss: 0.495111, test acc: 0.881772, test avg acc: 0.763067, test iou: 0.671427
Train 93, loss: 0.077266, train acc: 0.971867, train avg acc: 0.958804, train iou: 0.921201
Test 93, loss: 0.504003, test acc: 0.881250, test avg acc: 0.758937, test iou: 0.669136
Train 94, loss: 0.078004, train acc: 0.971531, train avg acc: 0.957548, train iou: 0.919595
Test 94, loss: 0.494379, test acc: 0.881422, test avg acc: 0.763042, test iou: 0.670845
Train 95, loss: 0.077634, train acc: 0.971671, train avg acc: 0.957911, train iou: 0.919902
Test 95, loss: 0.481254, test acc: 0.882871, test avg acc: 0.769185, test iou: 0.673913
Train 96, loss: 0.076842, train acc: 0.971995, train avg acc: 0.959248, train iou: 0.921648
Test 96, loss: 0.502972, test acc: 0.880887, test avg acc: 0.763835, test iou: 0.669302
Train 97, loss: 0.077340, train acc: 0.971763, train avg acc: 0.957950, train iou: 0.920334
Test 97, loss: 0.498027, test acc: 0.881190, test avg acc: 0.761111, test iou: 0.669391
Train 98, loss: 0.076685, train acc: 0.972032, train avg acc: 0.958453, train iou: 0.920982
Test 98, loss: 0.499279, test acc: 0.882161, test avg acc: 0.764562, test iou: 0.671893
Train 99, loss: 0.077062, train acc: 0.971835, train avg acc: 0.958302, train iou: 0.921036
Test 99, loss: 0.503892, test acc: 0.880454, test avg acc: 0.760941, test iou: 0.668677
